0001 BLOCK                    DECLARATION NOT FOLLOWED BY SEMICOLON             
0011 BLOCK                    IDENTIFIER DECLARED TWICE IN SAME BLOCK           
0021 PROCEDURE DECLARATION    SPECIFICATION CONTAINS IDENTIFIER NOT IN          
0022                          FORMAL PARAMETER LIST                             
0031 BLOCK                    NONIDENTIFIER IN IDENTIFIER OF DECLARATION        
0041 PROCEDURE DECLARATION    STREAM PROCEDURE DECLARATION PRECEDED BY          
0042                          ILLEGAL DECLARATOR                                
0051 PROCEDURE DECLARATION    PROCEDURE DECLARATION PRECEEDED BY ILLEGAL        
0052                          DECLARATOR                                        
0061 PROCEDURE DECLARATION    PROCEDURE IDENTIFIER REPEATED IN SAME BLOCK       
0062                          (NOT FORWARD)                                     
0071 PROCEDURE DECLARATION    PROCEDURE IDENTIFIER NOT FOLLOWED BY LEFT         
0072                          PARENTHESIS OR SEMICOLON                          
0081 PROCEDURE DECLARATION    FORMAL PARAMETER LIST NOT FOLLOWED BY RIGHT       
0082                          PARENTHESIS                                       
0091 PROCEDURE DECLARATION    FORMAL PARAMETER PART NOT FOLLOWED BY             
0092                          SEMICOLON                                         
0101 PROCEDURE DECLARATION    VALUE CLAUSE CONTAINS IDENTIFIER NOT IN FORMAL    
0102                          PARAMETER LIST                                    
0111 PROCEDURE DECLARATION    VALUE CLAUSE NOT ENDED BY SEMICOLON               
0121 PROCEDURE DECLARATION    MISSING OR ILLEGAL SPECIFICATION                  
0131 PROCEDURE DECLARATION    OWN USED IN ARRAY SPECIFICATION                   
0141 PROCEDURE DECLARATION    SAVE USED IN ARRAY SPECIFICATION                  
0151 ARRAY SPECIFICATIONS     ARRAY CALL-BY-VALUE NOT IMPLEMENTED.              
0161 ARRAY DECLARATION        ARRAY IDENTIFIER NOT FOLLOWED BY LEFT             
0162                          BRACKET                                           
0171 ARRAY DECLARATION        LOWER BOUND IN ARRAY DECLARATION NOT              
0172                          FOLLOWED BY COLON.                                
0181 ARRAY DECLARATION        BOUND PAIR IN ARRAY DECLARATION NOT FOLLOWED      
0182                          BY RIGHT BRACKET                                  
0191 ARRAY SPECIFICATION      ILLEGAL LOWER BOUND DESIGNATOR IN ARRAY           
0192                          SPECIFICATION                                     
0201 BLOCK                    OWN IMMEDIATELY BEFORE IDENTIFIER (NO TYPE)       
0202                          IN DECLARATION                                    
0211 BLOCK                    SAVE IMMEDIATELY BEFORE IDENTIFIER (NO TYPE)      
0212                          IN DECLARATION                                    
0221 BLOCK                    STREAM IMMEDIATELY BEFORE IDENTIFIER (THE         
0222                          WORD PROCEDURE WAS LEFT OUT)                      
0231 BLOCK                    DECLARATOR ILLEGALLY PRECEDED BY ANOTHER          
0232                          DECLARATOR                                        
0241 PROCEDURE DECLARATION    LABEL PASSED TO A FUNCTION                        
0251 BLOCK                    DECLARATOR OR SPECIFIER ILLEGALLY PRECEDED        
0252                          BY OWN, SAVE OR ANOTHER DECLARATOR                
0261 FILE DECLARATION         MISSING LEFT PARENTHESIS IN FILE DECLARATION      
0271 FILE DECLARATION         MISSING RECORD SIZE IN FILE DECLARATION           
